MDRC,Allemagne2000,Allemagne2005,Allemagne2010,Allemagne2015,Autriche2000,Autriche2005,Autriche2010,Autriche2015,Belgique2000,Belgique2005,Belgique2010,Belgique2015,Bulgarie2000,Bulgarie2005,Bulgarie2010,Bulgarie2015,Chypre2000,Chypre2005,Chypre2010,Chypre2015,Croatie2000,Croatie2005,Croatie2010,Croatie2015,Danemark2000,Danemark2005,Danemark2010,Danemark2015,Espagne2000,Espagne2005,Espagne2010,Espagne2015,Estonie2000,Estonie2005,Estonie2010,Estonie2015,Finlande2000,Finlande2005,Finlande2010,Finlande2015,France2000,France2005,France2010,France2015,Gr_ce2000,Gr_ce2005,Gr_ce2010,Gr_ce2015,Hongrie2000,Hongrie2005,Hongrie2010,Hongrie2015,Irlande2000,Irlande2005,Irlande2010,Irlande2015,Italie2000,Italie2005,Italie2010,Italie2015,Lettonie2000,Lettonie2005,Lettonie2010,Lettonie2015,Lituanie2000,Lituanie2005,Lituanie2010,Lituanie2015,Luxembourg2000,Luxembourg2005,Luxembourg2010,Luxembourg2015,Malte2000,Malte2005,Malte2010,Malte2015,Pays_Bas2000,Pays_Bas2005,Pays_Bas2010,Pays_Bas2015,Pologne2000,Pologne2005,Pologne2010,Pologne2015,Portugal2000,Portugal2005,Portugal2010,Portugal2015,R_publique_Tch_que2000,R_publique_Tch_que2005,R_publique_Tch_que2010,R_publique_Tch_que2015,Roumanie2000,Roumanie2005,Roumanie2010,Roumanie2015,Royaume_Uni2000,Royaume_Uni2005,Royaume_Uni2010,Royaume_Uni2015,Slov_nie2000,Slov_nie2005,Slov_nie2010,Slov_nie2015,Slovaquie2000,Slovaquie2005,Slovaquie2010,Slovaquie2015,Su_de2000,Su_de2005,Su_de2010,Su_de2015,Z_Pop_EU28notBEL2000,Z_Pop_EU28notBEL2005,Z_Pop_EU28notBEL2010,Z_Pop_EU28notBEL2015,Z_Pop_EU28tot2000,Z_Pop_EU28tot2005,Z_Pop_EU28tot2010,Z_Pop_EU28tot2015,Z_Pop_etranger2000,Z_Pop_etranger2005,Z_Pop_etranger2010,Z_Pop_etranger2015,Z_Pop_total2000,Z_Pop_total2005,Z_Pop_total2010,Z_Pop_total2015
1,29,41,51,41,7,4,9,6,1394,1505,1560,1567,3,2,8,15,1,0,5,4,0,1,2,5,8,13,3,7,91,90,87,112,0,0,0,1,12,12,15,16,165,225,368,459,36,50,42,47,1,2,11,10,10,10,11,7,97,111,157,217,0,0,4,3,0,1,3,7,6,4,7,10,0,1,2,0,29,50,57,47,2,9,34,41,48,34,50,47,2,5,1,3,3,12,21,66,42,71,51,57,0,0,3,5,0,1,1,5,40,26,19,19,632,775,1022,1257,2026,2280,2582,2824,848,1078,1418,1773,2242,2583,2978,3340
2,38,63,82,91,9,20,13,11,4147,5351,5345,5271,2,8,18,20,0,0,5,2,1,5,0,8,7,15,16,19,225,199,181,265,0,3,3,3,10,16,14,13,251,324,466,618,52,67,48,87,6,9,9,12,17,15,15,20,149,149,189,246,1,3,7,8,1,1,13,11,10,6,8,9,0,0,4,6,58,102,139,143,9,61,90,84,47,41,64,91,2,2,9,5,3,44,222,311,53,92,84,75,0,0,3,12,1,2,3,8,18,14,36,18,970,1261,1741,2196,5117,6612,7086,7467,2726,2542,3118,3565,6873,7893,8463,8836
3,32,42,77,82,7,14,18,13,3019,3417,3856,4061,3,2,23,39,0,0,0,2,0,1,2,8,7,13,11,13,125,129,119,143,2,2,2,2,10,16,17,11,223,227,397,531,56,46,58,74,8,5,6,6,8,3,14,12,118,108,126,174,0,0,5,2,0,1,4,11,5,2,9,5,0,1,3,0,49,68,101,98,10,28,64,66,32,19,38,53,2,4,3,5,21,19,95,149,53,64,59,54,1,1,2,2,1,2,1,8,20,20,25,15,793,837,1279,1578,3812,4254,5135,5639,1800,1517,2261,2678,4819,4934,6117,6739
4,6,13,24,17,0,1,4,1,661,777,1068,1231,0,1,3,20,0,0,0,0,0,2,1,2,1,0,2,5,18,25,55,70,0,0,1,2,0,1,4,2,36,47,110,182,5,9,3,14,0,2,3,6,4,3,2,7,42,39,37,58,0,0,2,10,0,0,0,2,1,2,4,2,0,0,0,1,4,8,16,26,8,13,32,29,19,18,17,48,0,0,0,2,2,10,13,51,3,11,22,25,0,0,2,3,0,0,1,3,2,3,3,5,151,208,361,593,812,985,1429,1824,303,315,617,1038,964,1092,1685,2269
5,20,26,28,36,10,8,4,7,1015,1082,1054,1160,1,6,10,19,0,0,3,0,2,0,1,5,8,1,2,5,51,58,61,87,0,6,5,1,11,5,9,7,94,104,210,254,14,5,7,16,3,4,6,8,5,7,2,11,32,39,59,87,0,0,1,3,2,0,1,3,4,2,2,3,0,1,1,1,26,24,24,38,3,9,72,54,17,10,9,20,0,2,2,3,3,16,41,35,36,22,37,36,0,2,4,4,0,2,2,2,14,7,8,8,356,366,611,753,1371,1448,1665,1913,505,552,956,1108,1520,1634,2010,2268
6,4,5,5,5,0,1,1,1,160,170,156,151,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,5,11,8,9,0,0,0,0,0,1,0,0,21,23,31,37,2,2,5,1,0,0,2,2,0,0,1,1,5,3,6,14,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,2,1,3,6,1,1,1,3,9,14,13,14,0,0,0,0,0,2,2,11,3,7,10,4,0,0,0,1,0,0,0,2,3,5,5,3,55,76,96,121,215,246,252,272,85,149,157,181,245,319,313,332
7,45,47,57,46,7,7,8,7,1433,1402,1291,1333,1,3,5,11,1,0,1,2,0,0,0,8,18,19,6,7,64,85,72,84,0,1,2,4,11,14,6,6,168,201,292,377,23,19,33,35,3,2,7,3,13,4,6,7,95,104,124,158,0,0,1,6,0,1,4,8,5,6,6,6,0,0,2,0,40,44,48,55,10,27,56,56,39,31,36,35,0,1,7,6,2,5,26,41,58,66,66,61,0,0,4,4,0,1,5,6,30,38,36,26,633,726,916,1065,2066,2128,2207,2398,924,1022,1205,1434,2357,2424,2496,2767
8,25,44,43,49,3,10,2,6,5342,6863,7565,8473,1,4,9,25,0,0,0,2,1,0,1,2,4,13,4,3,458,351,305,380,0,3,3,0,2,2,3,4,243,292,389,431,28,17,35,43,8,12,10,10,3,7,6,5,153,140,141,190,0,0,0,3,0,2,1,5,9,8,7,14,1,2,0,1,27,34,52,66,21,48,158,163,168,141,172,190,1,1,2,1,2,20,152,283,32,35,28,29,1,1,4,3,1,0,2,4,7,4,8,7,1199,1191,1537,1919,6541,8054,9102,10392,3849,3069,3476,3958,9191,9932,11041,12431
9,16,22,34,33,7,1,8,6,1796,2115,1778,1820,4,2,1,8,0,0,3,1,0,1,2,0,2,7,7,0,127,99,121,139,0,0,1,1,1,2,4,4,117,160,236,263,27,36,32,44,1,5,5,5,8,6,5,3,57,53,76,123,0,1,2,3,1,0,2,4,4,3,6,1,0,0,0,0,25,40,59,47,8,28,47,51,23,30,24,43,0,0,1,1,0,9,60,45,22,38,32,26,0,2,6,4,0,0,1,4,5,13,9,13,455,558,784,872,2251,2673,2562,2692,1147,1225,1398,1541,2943,3340,3176,3361
10,15,33,46,41,2,3,6,4,3858,5650,6338,6399,1,5,21,31,0,0,0,0,3,2,2,5,2,2,0,2,463,346,331,380,0,0,0,1,7,2,5,8,202,217,361,410,32,30,27,30,11,10,9,8,1,3,9,8,146,131,129,213,0,2,1,2,0,1,3,3,6,7,4,5,0,0,0,0,24,45,106,132,12,30,144,106,67,52,59,67,1,0,1,3,4,19,153,239,17,28,27,28,1,0,1,6,0,0,3,7,7,4,11,3,1024,972,1459,1742,4882,6622,7797,8141,4332,3320,3803,4061,8190,8970,10141,10460
11,5,15,21,31,0,1,1,3,3313,5045,5901,6284,4,26,88,157,0,0,0,0,0,0,0,1,3,1,0,1,399,282,272,376,0,0,0,0,0,1,1,7,168,170,206,234,160,127,98,99,0,2,2,5,1,1,0,1,627,463,358,322,0,0,0,2,0,0,1,2,9,6,4,3,0,0,0,0,36,56,57,97,15,104,245,243,456,495,505,620,2,0,1,2,6,31,402,893,29,37,22,22,0,0,3,1,0,0,2,2,1,0,2,0,1921,1818,2291,3124,5234,6863,8192,9408,4475,3772,4764,5900,7788,8817,10665,12184
12,5,4,10,16,0,0,0,3,3562,4918,5307,5725,0,10,85,139,0,0,0,0,0,1,0,0,0,0,2,1,163,120,127,241,0,0,0,0,0,0,0,0,125,113,120,155,262,180,118,88,9,3,0,0,0,0,4,3,569,463,332,317,0,0,0,0,0,0,0,0,6,3,2,4,0,0,0,0,8,17,56,51,16,43,231,304,221,221,205,290,0,0,0,3,2,29,176,556,19,13,10,17,1,1,1,2,0,0,0,0,1,1,1,1,1407,1222,1480,2191,4969,6140,6787,7916,3836,2910,3187,4002,7398,7828,8494,9727
13,4,5,5,13,0,0,0,0,1536,2421,3085,3496,1,5,24,50,0,0,0,0,0,0,0,0,0,0,0,1,104,72,93,136,1,0,0,3,0,0,0,1,53,61,72,78,77,28,6,8,0,0,0,5,0,0,0,1,188,119,105,117,0,0,0,1,0,3,0,0,2,0,0,1,0,0,0,0,2,14,32,46,3,42,121,127,81,47,83,89,0,0,0,0,0,14,201,302,3,11,9,11,2,0,2,0,0,0,0,9,0,0,4,3,521,421,757,1002,2057,2842,3842,4498,2031,1491,2089,2508,3567,3912,5174,6004
14,0,2,4,8,0,0,0,1,1745,2519,3039,3502,0,0,9,14,0,0,0,0,0,0,0,0,0,0,2,2,65,49,76,168,0,0,0,0,0,0,0,0,99,96,116,126,26,28,17,17,0,0,1,1,0,1,0,1,292,209,138,137,0,0,1,0,0,0,4,0,1,0,0,2,0,0,0,0,2,10,32,43,5,23,71,65,17,7,37,32,0,0,5,1,2,4,76,188,7,5,6,8,0,0,1,0,0,1,0,0,3,4,2,2,519,439,598,816,2264,2958,3637,4318,1758,1318,1580,1815,3503,3837,4619,5317
15,12,7,17,12,1,0,0,0,4004,5720,6415,6280,5,1,6,36,0,0,0,0,0,0,2,0,1,1,1,1,98,83,99,322,0,0,0,0,0,0,1,1,304,271,248,214,37,29,16,15,3,1,1,1,0,0,0,0,275,149,160,193,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,5,15,45,54,3,20,52,64,36,37,19,14,2,1,1,1,1,27,181,356,9,2,4,5,0,0,0,0,0,1,2,1,0,0,0,4,794,646,856,1294,4798,6366,7271,7574,3687,2793,2780,3127,7691,8513,9195,9407
16,21,21,32,26,0,0,4,0,7137,11013,12525,12892,1,4,21,37,0,0,0,0,4,2,2,3,6,6,5,3,136,135,222,486,0,0,1,0,0,6,5,7,615,524,501,492,111,79,55,49,1,1,1,7,1,4,4,3,442,300,241,277,0,0,3,0,0,0,2,1,1,0,1,1,0,0,0,1,34,49,156,127,9,50,124,133,81,86,69,69,0,0,2,0,1,79,403,588,31,26,27,28,0,0,2,2,0,0,10,5,1,2,3,5,1496,1374,1896,2350,8633,12387,14421,15242,7520,5400,5479,5672,14657,16413,18004,18564
17,6,5,14,12,1,4,2,2,4217,5218,5851,6069,3,8,34,64,1,0,0,0,0,1,0,0,0,2,3,3,117,83,113,151,0,4,0,0,1,1,1,4,208,170,189,172,117,91,58,43,1,0,2,0,0,3,1,0,188,142,119,101,0,0,0,0,1,0,0,1,4,2,2,3,0,0,0,0,11,14,35,34,14,30,82,129,73,53,48,51,0,0,1,1,2,22,254,473,4,7,8,7,1,0,0,0,0,0,0,5,0,1,0,1,753,643,966,1257,4970,5861,6817,7326,2208,1732,2166,2517,6425,6950,8017,8586
18,22,19,25,48,9,3,2,2,7764,9969,11093,11659,0,13,51,88,0,0,0,0,1,0,1,0,3,6,1,11,188,162,216,465,0,0,0,2,6,9,5,0,415,376,432,433,84,61,36,34,2,0,8,9,2,3,2,5,260,210,208,255,4,1,0,5,1,1,1,3,5,5,6,4,0,0,2,2,41,66,142,167,20,95,226,301,119,108,109,125,2,0,0,2,14,94,575,1167,26,16,23,40,0,0,0,5,0,0,3,3,1,2,3,6,1225,1250,2077,3182,8989,11219,13170,14841,5262,4318,4936,6283,13026,14287,16029,17942
19,12,13,22,43,0,0,0,2,3999,4888,5200,5239,1,2,29,63,0,0,0,0,0,0,0,0,0,0,0,2,63,52,77,175,0,0,2,4,0,0,3,5,121,138,141,155,40,49,35,36,2,0,1,3,4,2,2,1,274,223,157,155,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,14,24,45,41,24,31,151,195,40,32,32,38,0,1,0,1,2,33,347,767,11,13,18,10,0,0,1,6,0,0,0,0,2,1,3,7,610,615,1068,1712,4609,5503,6268,6951,1789,1566,2265,2992,5788,6454,7465,8231
20,18,27,37,31,0,1,1,6,7661,10275,11492,11957,1,17,105,224,0,0,1,1,3,1,1,0,1,7,3,1,205,156,198,488,0,0,0,0,0,0,2,3,362,310,327,320,159,118,78,66,4,2,3,12,0,0,0,1,497,420,316,337,0,0,1,1,0,0,4,4,5,3,4,5,0,0,0,0,22,38,116,183,24,100,284,367,75,34,51,57,2,1,0,1,7,54,615,1154,10,13,21,25,1,1,3,1,2,0,3,2,0,0,3,3,1398,1303,2177,3293,9059,11578,13669,15250,5463,4195,5261,6544,13124,14470,16753,18501
21,13,20,27,28,0,2,3,7,6105,8512,9486,10021,3,35,230,563,0,0,0,1,1,0,1,3,2,0,0,0,143,112,149,264,0,0,0,0,1,2,3,3,254,248,281,320,457,346,244,203,10,2,4,6,3,3,3,3,212,143,150,207,0,0,1,1,0,0,0,2,0,4,2,2,0,0,0,0,42,54,89,114,19,80,235,240,93,83,77,82,0,1,2,2,2,54,297,464,20,15,26,33,0,0,6,0,1,0,1,6,1,2,9,8,1277,1206,1840,2562,7382,9718,11326,12583,5226,3863,4595,5645,11331,12375,14081,15666
22,30,23,36,48,2,2,10,7,7607,10778,11509,11487,3,46,433,1235,0,0,1,0,1,5,6,6,4,4,10,10,233,173,224,380,0,0,1,1,3,2,5,6,300,233,278,351,321,233,164,144,6,1,1,10,2,6,5,2,323,222,179,211,0,0,2,1,0,0,5,4,9,7,7,9,0,0,0,0,64,70,154,151,39,144,451,468,104,61,50,84,4,2,1,10,10,93,554,1034,29,32,33,33,0,0,3,2,0,2,1,20,3,0,9,4,1490,1361,2623,4231,9097,12139,14132,15718,7758,5392,6494,7993,15365,16170,18003,19480
23,34,48,64,55,6,2,4,6,8841,11255,12059,12118,9,39,220,522,0,0,0,0,0,0,0,1,10,2,2,2,242,180,216,442,0,1,4,4,6,3,1,4,356,339,410,438,192,136,101,71,7,2,2,8,8,12,8,4,245,201,191,197,0,0,0,0,0,1,4,6,9,8,11,6,0,0,0,1,36,52,97,117,37,173,369,388,116,87,70,87,10,9,1,6,3,76,177,321,45,34,49,29,0,0,4,2,6,3,4,7,2,0,9,6,1379,1408,2018,2730,10220,12663,14077,14848,5943,4405,5253,5907,14784,15660,17312,18025
24,45,26,46,47,8,4,4,10,7950,10724,11143,11241,8,97,821,1959,0,0,0,1,5,2,2,7,3,8,9,3,204,152,185,363,0,1,4,2,9,5,2,6,285,266,351,430,154,118,91,72,3,8,16,8,6,2,7,10,213,185,174,228,0,0,2,2,0,0,7,5,13,11,8,8,0,0,1,0,44,48,92,106,30,124,309,329,85,65,82,97,0,4,3,3,3,29,170,441,37,32,39,38,0,2,1,7,1,1,7,5,4,3,5,14,1160,1193,2438,4201,9110,11917,13581,15442,7345,4994,6192,7597,15295,15718,17335,18838
25,78,82,114,98,15,6,13,18,8715,10881,11370,10832,8,51,363,846,1,1,1,4,5,0,3,12,38,16,14,23,289,220,288,658,0,5,8,9,19,22,18,14,430,434,543,627,60,67,53,71,7,14,20,27,30,19,19,24,430,353,393,499,0,3,7,18,2,3,8,13,10,8,10,15,0,3,3,1,83,68,123,120,41,156,534,494,165,139,145,146,2,9,11,14,7,52,543,872,136,92,84,92,0,2,15,13,1,7,9,21,23,19,15,12,1880,1851,3357,4761,10595,12732,14727,15593,6826,5308,6973,8168,15541,16189,18343,19000
26,109,143,220,191,13,18,18,21,9662,10581,11124,11063,1,29,160,415,0,1,2,2,0,0,1,15,20,23,23,27,207,228,260,445,1,1,6,9,16,8,20,26,482,514,591,718,142,105,85,106,6,11,36,25,39,39,25,25,701,593,582,594,0,0,13,15,0,2,14,14,26,18,18,12,0,3,1,0,76,93,113,103,51,206,667,746,438,396,341,371,0,1,29,20,22,30,241,721,134,133,154,120,1,1,3,6,2,4,13,34,14,13,29,27,2501,2613,3665,4808,12163,13194,14789,15871,4738,4493,5726,6999,14400,15074,16850,18062
27,64,67,70,98,8,4,6,5,4586,4642,4742,4658,0,10,34,145,0,1,0,0,1,1,0,4,14,17,18,8,103,112,122,177,0,0,0,1,8,12,13,10,247,226,290,350,61,61,41,54,4,2,6,16,14,17,13,10,228,223,181,216,0,0,0,5,0,4,1,10,5,5,2,5,0,0,1,0,60,68,81,80,11,46,229,238,130,125,107,115,0,4,4,11,9,11,68,131,78,51,57,52,0,0,2,2,1,3,7,5,3,3,8,14,1049,1073,1361,1762,5635,5715,6103,6420,1635,1589,1969,2417,6221,6231,6711,7075
28,128,133,170,196,24,35,25,21,6121,6080,5938,5731,0,4,49,94,1,0,2,1,1,5,3,22,26,27,28,34,194,246,246,306,3,9,9,17,22,46,42,33,354,430,532,578,69,90,98,102,10,8,32,39,70,54,66,54,434,390,393,426,1,3,10,9,0,7,15,16,8,9,6,9,1,0,4,4,71,73,71,79,13,93,326,388,187,161,194,241,0,6,32,40,6,27,193,407,154,158,171,159,1,2,14,14,0,6,16,16,30,46,41,30,1808,2068,2788,3335,7929,8148,8726,9066,2320,2648,3573,4213,8441,8728,9511,9944
29,320,422,459,405,79,78,60,58,5796,5622,5152,5091,11,23,182,234,0,6,27,33,1,0,12,46,101,78,65,67,386,389,379,624,12,16,42,26,126,139,101,92,639,760,942,1027,196,204,213,242,1,38,89,76,149,145,138,156,532,578,595,703,2,21,56,63,0,25,61,54,12,16,13,18,0,10,30,9,128,178,190,217,48,187,611,668,246,234,194,268,4,33,71,70,8,53,349,619,457,477,410,380,5,20,51,46,6,24,63,64,114,112,87,87,3583,4266,5490,6352,9379,9888,10642,11443,4939,5333,6894,8190,10735,10955,12046,13281
30,235,306,328,353,64,68,60,54,5560,5294,4861,4596,6,21,59,64,0,0,4,10,0,1,8,26,46,34,43,25,318,367,353,401,1,8,23,31,89,75,62,72,572,657,855,1001,150,130,125,165,1,24,86,99,72,74,78,79,349,351,385,496,0,13,25,22,0,16,30,33,23,25,24,13,2,0,8,11,126,151,153,166,73,123,311,400,239,240,298,271,3,16,44,41,7,21,122,226,347,338,364,322,2,12,22,19,5,38,39,58,107,91,83,84,2837,3200,3992,4542,8397,8494,8853,9138,3582,4016,4966,5776,9142,9310,9827,10372
31,119,179,227,236,19,29,40,45,3858,3633,3394,3304,4,3,22,54,0,0,6,11,0,3,20,22,44,34,26,22,135,179,217,308,0,4,12,13,71,71,71,40,355,423,563,625,69,76,79,122,3,11,26,51,41,37,39,53,184,192,275,352,0,3,5,15,0,3,26,18,19,20,18,18,0,1,5,6,79,67,77,83,14,47,135,195,191,168,180,178,3,7,25,30,8,22,47,116,181,195,200,239,1,1,7,9,2,5,9,21,59,65,77,65,1601,1845,2434,2947,5459,5478,5828,6251,1966,2237,2877,3510,5824,5870,6271,6814
32,129,193,264,288,41,44,57,52,8613,8402,7748,7438,10,20,54,112,1,3,7,8,1,3,0,33,28,43,44,33,298,323,296,420,0,10,23,26,43,95,88,58,503,733,1013,1101,97,135,116,186,6,59,110,106,56,66,57,63,509,510,560,652,0,8,24,28,0,7,23,33,19,14,20,31,2,1,7,17,80,88,112,122,39,246,654,706,234,224,244,269,4,24,45,71,10,36,160,314,189,217,211,212,0,10,29,27,2,13,56,41,34,73,61,45,2335,3198,4335,5054,10948,11600,12083,12492,3394,4218,5470,6406,12007,12620,13218,13844
33,75,123,207,237,16,30,33,46,10512,10959,11014,10439,5,15,52,77,0,1,14,13,1,2,2,28,11,25,23,21,249,239,273,395,0,9,6,12,16,14,24,39,498,634,946,1129,56,76,78,135,6,21,45,61,25,39,63,70,323,336,452,573,0,8,11,24,2,6,16,18,17,17,18,16,0,0,6,10,53,61,76,141,45,222,775,953,321,319,323,369,3,11,49,53,8,39,208,384,89,113,150,190,0,5,25,37,1,6,34,32,19,33,43,37,1839,2404,3952,5100,12351,13363,14966,15539,3703,4031,5781,7156,14215,14990,16795,17595
34,104,122,188,169,23,21,24,39,4560,4872,4881,4862,4,7,60,98,2,2,8,9,0,0,1,35,41,42,22,29,225,216,225,325,0,4,11,12,32,37,52,40,318,489,588,649,39,43,63,118,3,11,42,75,36,47,55,47,260,265,349,439,0,4,15,21,0,6,31,33,13,15,13,11,0,2,7,15,64,60,65,77,19,83,226,268,174,162,151,154,1,16,15,40,4,24,137,237,136,168,143,138,0,4,27,38,1,14,15,36,28,30,32,33,1527,1894,2565,3185,6087,6766,7446,8047,2416,2721,3451,4171,6976,7593,8332,9033
35,53,57,74,89,16,18,15,13,871,835,770,724,1,4,30,42,0,1,2,11,1,1,1,24,9,10,11,13,93,108,87,132,0,7,11,13,23,21,18,25,101,139,182,273,13,22,20,42,1,6,16,40,15,15,22,18,102,90,113,202,0,5,9,12,0,13,12,18,10,5,1,6,0,1,2,4,35,30,36,27,3,16,67,94,35,57,58,80,0,5,16,13,3,20,48,93,59,66,70,59,1,5,6,15,0,7,18,17,21,22,14,12,595,751,959,1387,1466,1586,1729,2111,748,908,1171,1643,1619,1743,1941,2367
36,119,152,190,179,15,20,26,29,3649,3826,3727,3585,1,4,29,85,0,1,5,5,1,0,6,12,36,40,33,32,205,236,268,381,0,4,10,8,24,25,29,42,460,685,926,1121,66,62,71,98,5,14,22,25,38,52,41,48,258,288,364,494,0,2,8,20,0,4,9,29,24,29,18,18,0,2,0,6,77,82,96,98,32,117,285,276,157,141,167,164,3,39,77,54,11,4,119,244,198,238,196,137,0,3,16,25,0,7,11,12,52,68,54,32,1782,2319,3076,3674,5431,6145,6803,7259,2802,3492,4447,5172,6451,7318,8174,8757
37,134,169,225,226,15,27,25,29,7480,8127,7831,7587,8,9,14,33,0,0,0,4,5,3,2,9,26,60,43,28,254,261,235,352,0,4,9,5,22,21,25,19,773,964,1225,1525,38,43,51,84,5,10,22,32,29,29,24,34,378,369,370,557,0,5,3,9,1,2,13,13,32,32,25,19,0,1,1,6,72,71,89,106,39,133,389,434,862,738,589,502,3,10,12,14,11,42,189,311,130,172,139,183,1,1,10,8,1,2,12,14,29,36,41,48,2868,3214,3782,4604,10348,11341,11613,12191,4851,4943,5419,6438,12331,13070,13250,14025
38,64,114,147,206,10,15,18,22,5471,5860,6129,5773,2,5,17,30,0,0,3,1,0,3,2,8,27,37,30,21,122,170,205,289,0,1,2,4,21,26,22,20,421,533,830,1011,22,40,54,79,2,6,14,28,12,15,34,31,220,227,300,381,0,0,1,6,0,3,9,12,29,27,17,22,0,0,6,4,58,58,85,130,23,77,195,256,149,152,206,216,5,7,16,20,12,14,57,134,135,140,147,145,0,2,10,17,0,3,10,8,35,38,47,40,1369,1713,2484,3141,6840,7573,8613,8914,2218,2485,3389,4222,7689,8345,9518,9995
39,158,190,189,193,31,35,24,24,4215,4147,3842,3943,3,10,27,24,1,3,7,5,10,4,3,14,47,43,31,38,206,201,199,290,0,3,4,8,51,62,46,35,624,798,1050,1308,148,146,94,118,3,8,23,34,61,43,33,45,402,374,422,484,0,7,12,10,0,0,6,12,25,29,24,20,0,1,1,5,92,116,125,128,15,40,74,83,302,283,261,311,7,8,13,20,15,26,76,112,283,280,230,220,3,6,14,12,0,3,11,16,124,123,84,47,2611,2842,3083,3616,6826,6989,6925,7559,3533,3840,4074,4536,7748,7987,7916,8479
40,110,159,186,176,26,32,21,17,2926,2915,2796,2665,1,11,15,26,0,3,7,3,2,1,4,8,18,33,28,28,109,131,125,196,0,4,3,5,33,33,19,17,466,579,761,996,62,84,75,100,5,18,20,33,33,33,34,52,186,224,257,345,1,2,5,4,0,4,8,21,24,17,17,11,0,4,4,4,75,94,78,85,26,63,121,120,132,136,109,122,2,7,14,12,7,21,59,97,201,194,159,156,0,3,5,8,1,5,11,11,66,57,53,36,1586,1952,2198,2689,4512,4867,4994,5354,2070,2518,2770,3238,4996,5433,5566,5903
41,82,113,145,155,11,12,15,18,3979,4007,3886,3813,15,3,17,34,0,2,4,3,2,3,6,17,18,16,15,18,259,237,215,280,0,2,2,7,17,21,14,16,509,593,930,1427,104,109,111,121,4,18,15,19,15,15,11,29,255,255,346,468,0,1,2,6,1,5,11,13,15,12,10,12,0,7,9,12,79,59,67,89,63,155,407,407,259,225,271,259,0,6,5,8,11,27,114,262,130,140,120,129,0,1,3,8,0,3,9,15,52,52,47,51,1901,2092,2921,3883,5880,6099,6807,7696,2746,2891,3810,4900,6725,6898,7696,8713
42,151,217,268,273,32,41,40,43,4554,4097,3905,3767,10,13,32,38,2,3,14,10,1,2,4,13,51,46,58,74,178,224,222,340,0,5,4,7,40,30,58,40,742,980,1296,1629,93,104,113,158,12,10,26,34,62,89,59,62,389,376,438,619,2,1,6,3,0,6,14,12,27,27,27,23,1,6,10,11,135,146,162,193,21,56,137,144,228,202,181,175,5,7,12,17,28,37,104,202,320,332,303,298,0,5,7,21,0,9,8,12,144,130,104,94,2674,3104,3707,4545,7228,7201,7612,8312,3368,3868,4548,5443,7922,7965,8453,9210
43,286,389,441,442,38,45,60,69,9557,9150,8509,7930,11,24,51,52,4,6,9,6,4,6,7,30,86,97,82,96,364,357,342,409,0,3,4,8,51,71,43,43,1272,1735,2191,2896,157,139,139,158,23,34,62,78,50,80,76,85,572,680,733,893,2,4,13,18,0,3,9,16,44,43,47,34,1,5,5,4,197,235,244,254,46,148,227,209,304,322,320,336,4,11,23,32,22,40,95,217,440,500,423,407,2,2,12,18,12,16,11,22,220,226,174,156,4212,5221,5843,6988,13769,14371,14352,14918,5475,6516,7174,8370,15032,15666,15683,16300
44,109,128,160,158,22,25,20,19,7972,7927,7869,7733,16,24,34,50,2,0,2,1,3,4,3,5,18,12,35,25,251,252,234,312,0,2,2,4,34,30,19,15,874,1093,1351,1654,124,97,90,122,37,35,41,43,33,21,34,32,407,406,402,526,0,2,6,5,1,1,0,4,35,28,22,24,0,0,7,6,105,106,120,112,18,57,125,149,236,285,273,323,5,2,4,8,39,38,126,184,184,203,168,166,7,1,9,18,1,4,13,10,104,98,68,63,2665,2954,3368,4038,10637,10881,11237,11771,3825,3891,4355,5066,11797,11818,12224,12799
45,40,51,81,94,5,10,6,7,6226,6306,6223,6181,1,4,6,13,0,0,0,3,2,0,1,5,5,17,6,5,225,212,169,195,0,0,0,0,8,6,10,8,348,464,717,1034,41,33,43,50,0,3,11,9,12,6,12,9,340,302,243,296,0,0,3,5,0,1,3,8,13,20,19,12,0,0,0,0,35,45,43,70,24,102,324,336,272,308,256,310,0,1,1,4,6,20,85,195,54,67,80,62,0,1,1,6,2,2,1,4,23,23,30,24,1456,1698,2151,2764,7682,8004,8374,8945,2074,2303,2787,3578,8300,8609,9010,9759
46,37,52,49,65,5,7,7,9,6190,6190,5963,5824,0,8,9,13,0,0,0,1,4,1,1,5,7,4,9,4,143,149,144,158,0,0,0,0,5,6,4,5,294,345,455,606,22,23,30,38,4,3,4,4,0,2,3,5,167,181,191,210,3,2,3,8,0,0,0,1,18,13,12,9,0,0,0,4,21,32,49,45,19,44,210,291,111,126,196,269,1,2,2,2,3,9,55,115,40,48,57,55,0,0,4,4,0,3,3,4,7,4,4,13,911,1064,1501,1943,7101,7254,7464,7767,1191,1326,1865,2468,7381,7516,7828,8292
