MDRC,Allemagne2000,Allemagne2005,Allemagne2010,Allemagne2015,Autriche2000,Autriche2005,Autriche2010,Autriche2015,Belgique2000,Belgique2005,Belgique2010,Belgique2015,Bulgarie2000,Bulgarie2005,Bulgarie2010,Bulgarie2015,Chypre2000,Chypre2005,Chypre2010,Chypre2015,Croatie2000,Croatie2005,Croatie2010,Croatie2015,Danemark2000,Danemark2005,Danemark2010,Danemark2015,Espagne2000,Espagne2005,Espagne2010,Espagne2015,Estonie2000,Estonie2005,Estonie2010,Estonie2015,Finlande2000,Finlande2005,Finlande2010,Finlande2015,France2000,France2005,France2010,France2015,Gr_ce2000,Gr_ce2005,Gr_ce2010,Gr_ce2015,Hongrie2000,Hongrie2005,Hongrie2010,Hongrie2015,Irlande2000,Irlande2005,Irlande2010,Irlande2015,Italie2000,Italie2005,Italie2010,Italie2015,Lettonie2000,Lettonie2005,Lettonie2010,Lettonie2015,Lituanie2000,Lituanie2005,Lituanie2010,Lituanie2015,Luxembourg2000,Luxembourg2005,Luxembourg2010,Luxembourg2015,Malte2000,Malte2005,Malte2010,Malte2015,Pays_Bas2000,Pays_Bas2005,Pays_Bas2010,Pays_Bas2015,Pologne2000,Pologne2005,Pologne2010,Pologne2015,Portugal2000,Portugal2005,Portugal2010,Portugal2015,R_publique_Tch_que2000,R_publique_Tch_que2005,R_publique_Tch_que2010,R_publique_Tch_que2015,Roumanie2000,Roumanie2005,Roumanie2010,Roumanie2015,Royaume_Uni2000,Royaume_Uni2005,Royaume_Uni2010,Royaume_Uni2015,Slov_nie2000,Slov_nie2005,Slov_nie2010,Slov_nie2015,Slovaquie2000,Slovaquie2005,Slovaquie2010,Slovaquie2015,Su_de2000,Su_de2005,Su_de2010,Su_de2015,Z_Pop_EU28notBEL2000,Z_Pop_EU28notBEL2005,Z_Pop_EU28notBEL2010,Z_Pop_EU28notBEL2015,Z_Pop_EU28tot2000,Z_Pop_EU28tot2005,Z_Pop_EU28tot2010,Z_Pop_EU28tot2015,Z_Pop_etranger2000,Z_Pop_etranger2005,Z_Pop_etranger2010,Z_Pop_etranger2015,Z_Pop_total2000,Z_Pop_total2005,Z_Pop_total2010,Z_Pop_total2015
114,56,66,83,83,11,10,11,15,4646,4592,4482,4574,19,18,9,34,0,0,0,0,1,0,0,3,21,28,24,10,115,86,84,100,0,1,0,0,10,9,4,8,704,780,839,1007,22,35,40,32,2,11,21,36,18,9,18,20,104,98,115,133,0,0,0,0,0,0,0,7,9,8,6,6,0,0,1,6,27,27,33,44,5,5,38,36,36,30,53,59,0,1,2,2,3,10,10,40,74,80,79,71,0,1,5,8,3,1,2,3,21,16,11,12,1261,1330,1488,1775,5907,5922,5970,6349,1476,1538,1675,2028,6122,6130,6157,6602
115,18,32,27,39,10,15,12,12,7615,7908,8027,8625,6,1,2,12,0,0,0,0,0,0,0,1,3,3,3,1,165,179,166,188,0,0,0,3,0,0,1,0,238,260,372,554,18,31,29,27,0,2,5,12,6,4,4,5,175,172,162,169,0,0,1,3,0,0,0,0,9,7,9,7,0,0,0,0,16,17,20,30,18,55,146,237,100,119,138,226,1,1,1,1,2,11,45,123,35,42,32,30,0,0,0,2,0,2,10,9,3,0,2,3,823,953,1187,1694,8438,8861,9214,10319,1273,1330,1600,2317,8888,9238,9627,10942
116,96,83,120,105,13,14,10,19,10566,10537,10425,10451,13,6,21,31,0,0,0,0,3,0,0,2,19,31,28,24,215,199,196,232,0,0,0,0,2,13,2,3,694,978,1251,1464,35,53,43,61,10,8,27,37,5,9,10,7,222,214,297,316,0,0,4,1,0,0,0,5,34,27,14,17,0,0,2,0,78,77,87,86,38,124,330,435,178,225,263,332,2,4,5,12,5,17,197,376,107,108,119,115,0,0,2,1,2,2,5,5,4,20,28,18,1775,2212,3061,3704,12341,12749,13486,14155,2526,2963,3905,4768,13092,13500,14330,15219
117,24,28,35,37,5,4,8,8,6284,6116,6092,6005,9,9,12,5,0,0,1,0,4,1,1,0,13,8,4,4,146,138,136,148,0,0,0,0,2,1,2,1,240,275,328,378,50,44,26,32,1,4,7,11,2,2,2,1,162,146,130,155,0,2,0,0,0,0,0,2,2,4,6,14,0,0,0,0,18,16,34,34,11,18,78,129,97,109,137,216,0,0,4,0,1,8,47,85,42,33,36,36,0,0,0,5,0,0,2,2,4,2,2,3,833,852,1038,1306,7117,6968,7130,7311,1052,1081,1307,1662,7336,7197,7399,7667
118,5,16,11,22,0,4,8,3,5115,5469,5599,5887,2,17,6,23,0,0,0,0,0,0,1,1,0,0,3,4,218,198,183,238,0,0,0,0,0,1,1,3,146,164,199,270,72,71,57,56,6,2,1,2,2,3,1,1,289,277,243,239,0,0,1,1,0,0,0,0,5,4,5,4,0,0,0,0,7,15,39,37,17,54,195,206,143,166,212,305,0,0,2,1,3,8,93,177,14,15,18,17,0,0,0,0,0,2,0,9,0,5,4,4,929,1022,1283,1623,6044,6491,6882,7510,1607,1595,2077,2571,6722,7064,7676,8458
700,0,0,0,0,0,0,0,0,94,26,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,1,98,27,33,29,6,2,7,1,100,28,33,29
701,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0
702,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,3,3,3,4
800,1,1,1,8,0,0,0,0,416,415,381,1262,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,17,0,0,0,0,0,0,0,0,4,7,4,24,1,0,0,2,0,0,0,0,0,0,0,0,2,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,14,2,0,2,7,2,1,1,2,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,12,18,98,434,427,399,1360,35,28,32,272,451,443,413,1534
801,17,6,2,3,0,0,0,0,1136,371,249,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,15,13,11,2,2,4,3,0,0,0,1,0,0,0,0,5,6,3,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,3,1,2,3,6,9,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37,34,36,37,1173,405,285,351,49,44,53,62,1185,415,302,376
