sscod;BELGIQUE;ALLEMAGNE;DANEMARK;ESPAGNE;FINLANDE;FRANCE;ROYAUME_UNI;GRECE;IRLANDE;PORTUGAL;SLOVENIE;ROUMANIE;TURQUIE;INDE;JAPON;ISRAEL;CONGO_/REP.DEM/;ALGERIE;MAROC;TUNISIE;TOTAL_AFRIQUE;TOTAL_(AVEC_REFUGIES)
21010A493;34;;1;2;0;1;0;0;0;1;1;8;9;0;0;0;2;0;1;0;32;132
21011A00-;1470;4;1;22;1;49;3;17;0;17;0;54;25;1;0;0;9;3;166;5;208;2058
21011A01-;2708;2;0;55;0;82;4;59;0;16;0;17;41;0;0;0;34;14;285;5;369;3559
21011A02-;1276;;0;14;0;31;1;6;0;12;0;22;14;1;0;0;21;8;202;4;250;1757
21011A10-;1711;1;0;65;1;69;2;9;0;33;0;6;13;0;0;0;15;8;43;2;76;2130
21011A11-;1544;5;0;41;0;41;9;16;0;17;0;10;8;0;0;0;3;5;24;5;54;1864
21011A12-;1469;2;1;34;1;29;3;7;0;21;0;0;3;0;0;0;5;2;14;0;33;1667
21011A20-;2454;3;3;40;3;88;6;19;1;36;0;36;14;0;5;0;21;3;84;7;143;3082
21011A30-;1747;6;2;35;3;82;6;19;1;17;0;21;12;0;1;1;42;7;138;6;208;2378
21012A00-;1500;9;0;24;0;45;6;10;0;9;0;23;28;1;0;0;25;9;376;1;467;2277
21012A011;637;2;0;11;0;29;1;1;2;5;0;0;16;1;0;0;0;4;127;0;137;905
21012A02-;682;2;0;5;0;38;1;0;0;4;0;1;3;0;0;0;23;9;88;1;124;894
21012A03-;1388;4;0;17;0;47;3;7;0;19;0;0;16;2;0;0;6;9;285;0;332;1964
21012A041;1357;1;0;27;0;36;1;11;0;9;0;9;35;0;0;0;13;8;311;0;355;1971
21012A05-;730;2;0;13;0;38;0;13;0;2;0;12;5;0;0;0;6;6;164;2;191;1087
21012A10-;1366;1;0;17;0;43;1;6;1;1;0;39;39;0;0;0;8;2;385;3;424;2118
21012A11-;494;3;0;23;0;15;1;8;0;24;0;12;1;0;0;0;21;2;113;0;198;891
21012A12-;712;1;0;11;0;22;1;7;0;3;0;4;0;0;0;0;10;3;128;1;165;1019
21012A13-;697;;0;34;0;43;4;15;0;8;0;7;6;4;0;0;6;0;148;1;157;1065
21012A141;1766;4;0;24;0;52;0;4;0;7;0;15;4;0;0;6;15;10;333;2;401;2394
21012A152;3362;6;0;61;1;168;4;17;0;21;0;23;60;2;0;1;52;26;1023;5;1164;5219
21012A172;762;;0;2;0;36;1;2;0;10;0;18;19;0;0;0;6;10;158;1;190;1082
21012A20-;1351;3;1;57;0;48;7;11;1;45;0;5;9;3;0;1;17;2;75;2;121;1826
21012A21-;1343;4;0;16;0;24;1;3;0;2;0;0;8;0;0;0;17;0;115;1;155;1603
21012A22-;210;;0;4;0;12;0;0;0;9;0;0;1;0;0;0;4;0;3;0;7;256
21012A23-;2218;4;0;54;0;60;3;13;0;26;0;8;3;0;1;0;10;0;32;0;47;2564
21012A24-;2596;4;0;49;0;70;1;20;1;30;0;16;15;0;0;0;46;12;95;1;170;3231
21012A25-;665;;0;12;0;8;2;0;0;9;0;3;1;1;0;0;3;2;42;0;52;772
21012A26-;3012;7;2;86;1;56;6;31;0;24;0;4;0;0;0;0;17;3;29;0;64;3473
21012A30-;1401;1;0;71;0;14;1;20;1;16;0;7;8;2;0;0;17;0;28;0;53;1712
21012A39-;16;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
21012A41-;1075;7;0;27;0;25;1;4;0;7;0;1;4;0;0;0;1;7;18;1;27;1242
21012A50-;2045;2;0;44;0;35;6;1;2;28;0;9;19;0;0;0;30;6;28;0;81;2412
21012A511;1774;2;0;42;0;52;3;4;0;19;0;18;23;1;0;1;41;9;130;3;204;2355
21012A52-;2471;7;0;64;0;66;2;31;0;43;0;6;4;2;0;0;27;1;72;1;125;3010
21012A53-;241;;0;2;0;2;0;0;0;0;0;0;7;0;0;0;0;1;38;0;41;301
