sscod;BELGIQUE;ALLEMAGNE;DANEMARK;ESPAGNE;FINLANDE;FRANCE;ROYAUME_UNI;GRECE;IRLANDE;PORTUGAL;SLOVENIE;ROUMANIE;TURQUIE;INDE;JAPON;ISRAEL;CONGO_/REP.DEM/;ALGERIE;MAROC;TUNISIE;TOTAL_AFRIQUE;TOTAL_(AVEC_REFUGIES)
21017A021;337;1;0;0;0;7;8;5;3;1;1;0;0;0;0;0;0;0;0;0;1;401
21017A031;77;;0;1;0;3;2;0;0;0;0;2;0;4;2;0;0;0;0;0;0;121
21017A041;591;9;3;8;8;67;15;8;0;2;0;3;0;0;10;1;1;2;1;0;5;808
21017A08-;98;2;0;1;0;6;2;2;0;21;0;0;2;0;2;0;0;0;1;0;1;162
21017A09-;;;;;;;;;;;;;;;;;;;;;;14
21017A11-;1255;14;1;12;2;45;11;1;0;5;0;0;3;3;8;0;15;3;15;0;35;1423
21017A12-;1976;12;6;19;1;35;4;5;2;0;0;0;0;1;20;0;8;1;7;0;28;2142
21017A13-;1014;22;10;4;5;44;37;20;4;6;0;0;0;0;13;0;0;0;3;0;5;1261
21017A212;1328;41;17;12;4;110;32;18;13;17;0;4;0;0;28;0;8;0;6;0;17;1783
21017A220;591;2;0;10;0;11;0;0;0;0;0;0;0;2;0;0;1;0;5;0;12;640
21017A230;1122;2;4;9;4;32;26;2;5;5;0;0;0;1;8;0;3;0;1;0;6;1313
21017A240;591;5;0;1;0;23;7;8;1;5;0;0;0;1;7;0;3;0;0;0;5;695
21017A312;135;4;0;2;4;2;3;3;1;0;0;0;0;0;0;0;2;0;0;0;2;163
21017A323;74;;0;1;0;10;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;93
21017A374;305;1;0;1;0;9;0;1;0;2;0;0;0;0;0;0;1;1;2;0;4;334
21017A393;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
21017A41-;1236;1;0;12;4;69;29;8;1;16;0;5;3;2;1;1;8;2;9;0;30;1527
21017A421;128;5;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;153
21017A432;912;2;6;8;0;27;8;2;7;2;0;0;1;2;5;0;0;0;6;1;10;1069
21017A443;625;;0;7;0;22;1;1;1;2;0;1;6;0;0;0;4;4;11;0;20;716
21017A451;1052;3;1;8;0;62;19;6;4;11;0;3;0;0;5;0;2;0;3;0;10;1244
21017A472;;;;;;;;;;;;;;;;;;;;;;5
21017A501;321;;0;6;1;18;12;1;0;0;0;0;0;0;3;0;0;0;2;0;4;390
21017A512;924;2;7;2;1;45;19;1;8;5;1;0;0;0;1;0;2;0;3;1;9;1081
21017A523;1218;17;5;10;0;57;18;5;2;21;0;7;1;1;82;1;10;0;1;5;18;1542
21017A534;180;1;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;1;0;0;1;195
21017A541;702;7;13;5;0;26;6;0;4;7;0;4;0;0;4;0;2;0;0;0;3;829
21017A613;84;9;2;2;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118
21017A624;826;9;0;9;6;24;9;3;0;12;0;1;0;3;10;0;5;1;4;1;13;972
21017A635;326;2;1;11;0;19;2;0;4;2;0;0;0;0;4;0;0;0;0;0;2;425
21017A696;82;;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91
21018A00-;1041;2;1;21;5;47;19;21;12;38;4;6;2;0;9;0;10;2;4;1;24;1397
21018A01-;538;3;2;13;4;26;14;13;1;10;0;1;1;0;1;0;2;0;1;0;6;682
21018A02-;904;3;1;16;20;68;27;14;5;17;0;4;5;0;12;0;8;0;2;1;18;1289
21018A031;1014;17;4;46;17;56;11;29;3;34;0;9;9;1;5;0;4;2;3;0;16;1403
21018A04-;1208;17;13;36;16;65;21;14;10;45;0;15;3;9;7;1;13;0;8;4;40;1683
21018A05-;988;14;1;25;2;57;17;8;5;18;1;19;0;0;21;0;9;0;5;0;21;1305
21018A09-;162;1;1;4;2;17;14;1;4;7;3;0;0;0;9;0;0;0;0;1;3;282
21018A12-;329;2;3;18;3;21;19;5;0;2;0;3;8;5;136;0;0;0;1;0;2;692
21018A13-;475;;0;1;0;14;3;0;1;5;0;0;0;0;0;0;0;0;0;0;6;527
21018A14-;974;11;2;9;0;37;15;6;0;4;0;1;4;1;1;0;3;1;4;0;11;1138
21018A15-;186;1;3;5;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;5;215
21018A19-;;;;;;;;;;;;;;;;;;;;;;9
21018A20-;2095;53;8;50;21;185;70;17;22;46;2;16;5;22;6;0;12;4;12;3;43;2951
21018A21-;2022;46;8;97;15;180;59;16;10;68;5;4;5;8;11;1;15;0;5;2;44;2871
21018A22-;1024;14;6;49;14;95;25;32;3;41;0;4;8;11;4;2;4;0;2;1;17;1559
21018A24-;1437;57;3;40;11;143;40;22;9;42;0;9;3;3;1;0;2;4;6;0;23;2080
21018A3MJ;545;12;1;12;2;29;9;9;0;11;0;4;2;1;51;1;8;0;1;2;19;810
21018A30-;671;14;1;1;13;57;3;9;5;18;0;4;0;5;14;0;6;1;6;2;18;907
21018A311;1804;22;1;28;0;61;13;25;2;42;1;17;2;22;2;0;24;3;9;0;62;2267
21018A32-;277;5;0;7;4;6;0;0;0;7;0;0;0;0;0;0;0;0;1;0;3;331
21018A33-;1196;18;13;61;22;55;17;21;5;19;0;2;5;0;28;0;2;1;3;0;16;1677
21018A34-;416;11;0;15;14;19;12;4;8;29;0;0;0;4;10;0;0;0;0;0;0;620
21018A35-;690;1;0;4;0;20;0;0;0;0;0;0;0;0;0;0;4;1;3;2;27;768
21018A37-;150;2;0;3;0;14;0;0;0;5;0;3;1;0;0;0;0;0;0;0;0;180
21018A41-;1018;4;1;29;2;42;11;22;5;40;0;10;5;9;5;2;11;0;3;0;28;1344
21018A42-;862;24;3;12;2;65;16;32;6;25;0;11;1;0;5;0;1;0;4;1;13;1158
21018A43-;613;9;0;19;4;29;10;3;4;16;1;3;5;15;48;1;10;0;4;1;18;899
21018A512;1094;51;3;35;21;67;21;24;6;45;3;5;0;3;20;0;5;2;4;1;18;1612
21018A60-;370;3;0;10;0;21;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;426
21018A61-;1435;27;8;29;18;107;22;8;2;24;1;2;8;1;4;0;6;1;6;0;19;1874
21018A62-;2267;67;16;40;21;163;59;36;11;50;2;6;0;7;9;2;21;3;14;1;46;3124
21018A63-;1460;6;0;13;4;43;2;0;3;4;1;2;0;0;2;1;1;1;1;1;12;1629
21018A643;1556;13;0;24;5;51;14;43;2;24;0;10;1;3;9;0;21;4;17;0;68;1942
21018A72-;1111;62;5;66;23;178;84;27;12;39;1;5;4;6;6;0;1;1;3;1;20;2099
21018A81-;583;;0;6;1;34;1;3;1;0;0;0;0;2;0;0;2;1;1;0;10;661
21018A82-;386;21;0;6;3;29;18;3;6;7;0;0;1;0;7;0;0;0;0;0;6;542
21018A83-;579;16;0;19;7;78;21;16;1;14;0;8;1;4;43;0;0;0;0;0;6;925
21018A84-;743;5;0;6;0;36;0;1;0;3;0;0;0;0;0;0;7;0;3;0;23;835
21018A87-;152;18;0;10;2;200;2;4;0;10;0;8;1;2;0;0;47;8;21;4;173;708
21019A001;1143;26;1;20;6;49;28;12;5;17;0;2;2;0;14;0;3;0;7;2;22;1492
21019A01-;419;3;1;21;2;17;5;9;3;4;0;14;5;4;4;0;2;0;1;4;8;575
21019A02-;154;5;0;7;3;12;8;6;1;12;0;0;2;0;4;0;0;0;0;4;11;277
21019A03-;729;31;0;24;8;57;15;8;9;20;0;2;2;3;4;0;1;2;1;1;7;1037
21019A04-;624;42;4;23;6;75;12;12;6;11;0;0;2;4;1;0;1;0;0;0;8;920
21019A052;710;3;2;38;4;53;9;10;4;16;1;1;2;1;1;0;2;2;2;3;15;1006
21019A10-;1654;44;3;40;33;88;24;8;4;24;0;1;2;0;163;0;10;1;4;4;36;2278
21019A11-;650;65;3;9;9;39;44;18;9;9;0;1;2;0;3;0;2;0;1;0;6;977
21019A12-;423;14;0;7;6;34;12;5;3;3;0;2;0;0;4;0;0;0;0;0;1;561
21019A131;989;49;2;27;15;62;27;38;3;15;0;2;0;0;168;0;1;1;3;2;9;1569
21019A14-;923;14;0;14;12;43;15;4;8;7;0;1;2;0;57;0;7;0;2;1;16;1192
21019A15-;1415;11;4;11;6;33;14;1;1;16;0;3;1;0;2;0;9;2;11;2;29;1621
21019A20-;888;32;7;40;2;61;42;19;9;8;0;3;3;0;0;0;3;1;0;0;6;1229
21019A21-;1091;44;1;36;13;67;28;8;6;23;0;0;0;0;7;0;7;0;5;0;14;1478
21019A22-;412;12;0;8;5;47;14;12;7;8;0;4;0;0;3;0;0;0;1;0;5;637
21019A231;805;2;1;8;5;65;29;4;1;10;0;0;3;0;14;0;3;1;6;0;15;1093
21019A242;855;26;7;27;4;47;7;21;1;7;0;1;1;0;3;0;3;2;2;1;24;1087
21019A252;891;39;1;13;4;92;11;16;5;1;0;4;0;0;8;0;2;0;4;1;11;1200
21019A28-;27;6;2;1;0;7;6;6;0;8;0;0;3;0;0;0;0;0;0;0;1;91
21019A30-;586;35;4;39;6;50;19;16;2;16;1;3;2;1;19;0;1;3;0;0;5;872
21019A31-;770;29;9;18;9;49;34;25;8;32;2;1;3;4;7;0;1;0;2;0;8;1132
21019A32-;1676;8;24;43;20;150;31;24;10;31;1;12;1;6;26;0;8;8;3;1;30;2410
21019A33-;1171;29;4;60;7;82;35;24;5;30;0;1;4;1;30;0;6;0;4;2;19;1703
21019A34-;648;46;7;53;8;77;33;43;9;20;0;0;0;0;15;0;2;0;1;0;10;1074
21019A35-;840;48;3;41;10;106;52;29;6;27;3;11;0;0;16;2;5;0;2;0;9;1377
21019A40-;2194;64;4;39;11;135;50;18;4;8;0;1;2;0;13;0;2;0;2;6;15;2734
21019A41-;962;17;2;3;2;17;13;2;2;5;0;0;0;0;9;0;1;0;0;1;3;1077
21019A42-;617;18;4;18;0;34;19;8;0;16;0;0;2;1;14;0;1;0;4;0;9;845
21019A43-;357;21;1;5;7;35;17;9;0;12;0;0;0;0;0;1;2;0;0;1;6;536
21019A441;187;7;0;8;1;18;14;1;2;6;0;0;2;0;0;0;0;1;1;0;4;281
21019A45-;632;48;3;4;4;53;24;13;10;7;0;1;3;0;5;0;0;1;6;0;7;908
21019A492;;;;;;;;;;;;;;;;;;;;;;4
21019A51-;803;55;4;58;14;101;38;19;8;50;0;10;4;6;39;0;3;0;2;0;15;1419
21019A52-;757;26;2;46;6;63;28;16;15;41;2;0;0;3;1;1;4;2;1;0;20;1213
