"ID_SS";"ID_SS_bis";"exp_ais";"exp_individu";"exp_public";"exp_société";"exp_total"
606;"21016A400";0;5;0;1;6
607;"21016A429";1;2;0;2;5
608;"21016A410";0;4;0;1;5
609;"21016A490";0;0;0;0;0
610;"21016A639";0;1;17;0;18
611;"21016A610";0;0;0;0;0
612;"21016A521";0;0;0;0;0
613;"21016A342";0;4;0;0;4
614;"21016A311";0;1;0;0;1
615;"21017A512";0;3;0;0;3
616;"21017A541";0;0;0;0;0
617;"21017A192";0;0;0;0;0
618;"21017A635";0;0;0;0;0
619;"21017A11-";0;0;6;0;6
620;"21017A240";0;0;0;0;0
621;"21017A230";0;1;0;0;1
622;"21017A220";0;1;2;0;3
623;"21017A443";0;0;1;0;1
624;"21017A41-";1;2;0;0;3
625;"21017A523";0;3;0;0;3
626;"21017A613";0;0;0;0;0
627;"21017A696";0;0;0;0;0
628;"21017A624";0;4;0;0;4
629;"21017A534";1;1;0;0;2
630;"21017A501";0;0;0;0;0
631;"21017A421";0;0;0;0;0
632;"21017A432";0;3;0;0;3
633;"21017A021";0;0;0;0;0
634;"21017A01-";0;1;1;0;2
635;"21017A12-";0;0;1;0;1
636;"21017A08-";0;0;0;0;0
637;"21017A13-";0;2;0;0;2
638;"21017A212";0;2;0;0;2
639;"21017A000";0;1;0;0;1
640;"21017A09-";0;0;0;0;0
641;"21017A451";0;0;0;0;0
642;"21017A472";0;0;0;0;0
643;"21017A374";0;0;0;0;0
644;"21017A041";0;1;0;0;1
645;"21017A031";0;0;0;0;0
646;"21017A312";0;0;0;0;0
647;"21017A323";0;0;0;0;0
648;"21017A393";0;0;0;0;0
650;"21018A20-";0;12;0;3;15
651;"21018A72-";0;1;0;0;1
652;"21018A21-";1;5;1;2;9
653;"21018A35-";0;0;5;0;5
654;"21018A34-";0;0;0;0;0
655;"21018A32-";0;1;0;0;1
656;"21018A311";2;3;0;0;5
657;"21018A33-";0;1;0;1;2
658;"21018A22-";0;2;0;1;3
659;"21018A512";0;3;0;0;3
660;"21018A031";0;0;2;0;2
661;"21018A04-";0;2;1;1;4
662;"21018A02-";0;3;0;0;3
663;"21018A37-";0;0;0;1;1
664;"21018A63-";0;0;2;1;3
665;"21018A05-";0;2;0;0;2
666;"21018A61-";0;0;0;0;0
667;"21018A62-";0;8;0;2;10
668;"21018A24-";0;3;0;0;3
669;"21018A09-";0;0;0;0;0
670;"21018A30-";2;4;0;0;6
