LOY;LOYm2;Q11;INSSEC;annee_enquete;Q12;etat_2000_dbl_vitr;Q33;deuxieme_salle_bain;nbre_garage;convecteur;abs_regul_thermique;abs_espace_recreatif;abs_eau_chaude;rangement;etat_a_installation_elec;etat_b_installation_gaz;etat_c_evacuation_gaz;etat_d_chauffe_eau;etat_e_plomberie;etat_f_chassis;etat_g_isolation_thermique;etat_h_isolation_sonore;etat_i_chauffage;etat_j_escalier;etat_k_revetements_sol;etat_l_peintures_interieures;etat_m_cuisine;etat_n_sanitaires;etat_o_espaces_communs;REV;Q67a;Q67b;Q67c;Q67d;Q67e;Q14;m2;type_logement;type_logement2
730.956132483297;9.136951656041212;80;21016A772;2017;Appartement2;2;3;0;0;0;0;0;0;1;3;4;NA;5;4;5;3;4;5;5;3;5;2;3;5;Refus de répondre;0;1;0;2;0;2;80;Appartement2;Appartement2
730.956132483297;8.5994839115682;85;21004E81-;2017;Appartement2;2;3;0;0;0;0;0;0;1;4;4;3;4;3;5;NA;4;3;4;3;5;4;3;5;De 2501 € à 3000 €;0;0;0;2;0;2;85;Appartement2;Appartement2
992.0118940844745;7.085799243460532;140;21005A10-;2017;Maison4;2;4;1;0;0;0;0;0;1;4;NA;5;5;5;3;2;2;2;3;4;5;3;3;2;Refus de répondre;0;1;2;2;0;5;140;Maison4;Maison4
636.976058306873;6.3697605830687305;100;21005A051;2017;Appartement2;1;2;0;0;0;0;1;0;0;3;3;1;1;2;1;1;1;4;3;2;4;2;3;4;De 1001 € à 1500 €;1;0;0;2;0;2;100;Appartement2;Appartement2
730.956132483297;9.136951656041212;80;21003A312;2017;Appartement2;2;4;0;0;0;0;0;0;1;4;4;5;4;5;4;5;4;5;4;3;4;4;3;4;Refus de répondre;0;0;1;2;0;2;80;Appartement2;Appartement2
625.4896047964213;10.424826746607021;60;21004E12-;2017;Appartement2;2;3;0;0;0;0;0;0;0;3;3;3;3;3;3;2;2;3;3;3;3;3;3;NA;De 1001 € à 1500 €;1;0;0;1;0;2;60;Appartement2;Appartement2
1253.067655685652;11.391524142596836;110;21005A00-;2017;Appartement2;1;2;0;0;0;0;0;0;1;3;4;4;3;1;4;NA;3;5;3;4;3;4;4;3;De 2001 € à 2500 €;1;0;0;2;0;2;110;Appartement2;Appartement2
762.2828238754382;6.929843853413074;110;21015A13-;2017;Appartement2;2;4;0;0;0;0;0;0;1;3;3;3;4;3;4;5;5;3;3;4;5;4;4;4;De 1501 € à 2000 €;0;0;0;2;0;2;110;Appartement2;Appartement2
678.7449801630614;NA;NA;21001B22-;2017;Appartement2;2;3;0;0;0;0;1;0;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;De 500 € à 1000 €;0;0;0;1;0;2;NA;Appartement2;Appartement2
819.7150914276973;NA;NA;21008A10-;2017;Appartement2;2;5;NA;NA;0;0;0;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;Refus de répondre;2;0;0;1;0;2;NA;Appartement2;Appartement2
