id,name,value
21017A08-,SOUVERAIN-EST,29808.64
21018A12-,STOCKEL (CHAUSSEE DE),26693.68
21017A635,PRINCES BRABANCONS,30219.44
21018A13-,GROOTVELD,21741.95
21018A15-,LES SOURCES,33148
21018A20-,GEORGES HENRI (AVENUE),24467.5
21018A21-,DE BROQUEVILLE (AVENUE)-NORD,23969.05
21018A22-,DE BROQUEVILLE (AVENUE)-SUD,26556.27
21018A24-,LAMBEAU (AVENUE),26358.33
21018A30-,SAINTE-FAMILLE,24555.29
21018A311,PARC SCHUMAN,25823.88
21018A32-,CLOS DES PEUPLIERS,32258.49
21018A33-,NEERVELD,26739.32
21018A14-,CHANCELLERIE,19024.48
21017A624,PECHERIES,25202.32
21017A613,AVENUE DE TERCOIGNE,29789.27
21017A541,LOUTRIER - WIENER,22439.51
21017A041,DREVE DU DUC,27319.77
21017A11-,FLOREAL,18963.46
21019A52-,DUC (RUE),25431.05
21001C5MA,MEYLEMEERSCH,
21002A39-,CHEMIN DE FER,
21008A27-,NESTOR MARTIN,
21014A18-,JARDIN BOTANIQUE,
21002A091,TROIS COULEURS,
21001A3MJ,CERIA I,
21004A19-,PALAIS ROYAL,
21002A482,VAL DUCHESSE,
21017A393,ETANGS DE BOITSFORT,
21017A382,FORESTERIE,
21009A29-,CIMETIERE,
21013A2MJ,GARE DU MIDI,
21014A2MJ,NORD,
21001A982,PARC FORESTIER,
21017A472,ZONING DE BUREAUX-NORD,
21016A692,CIMETIERE - ST.-GILLES,
21001A492,ETANGS - PARC,
21009A593,QUARTIER LEOPOLD,
21016A383,FORET DE SOIGNES LORRAINE-W.,
21004D6MJ,QUAI DES USINES - MONNOYER,
21016A39-,FORET DE SOIGNES LORRAINE-EST,
21009A192,ETANGS,
21004B49-,CINQUANTENAIRE (PARC DU),
"21004E193",N.D. DE LAEKEN,
21006A073,GARE DE FORMATION,
21002A492,WOLUWE PARC,
21002A572,DEPOT METRO,
21004B112,RUE DU COMMERCE,
21004A1MJ,COLONIES (RUE DES),
21012A29-,MARIE-JOSE (PARC),
21014A13-,ROGIER,
21007A291,FOREST NATIONAL - STADE,
21019A492,BOIS,
21008A38-,PARC DE RIVIEREN,
21008A19-,BASILIQUE,
21004A30-,SAINT-MICHEL ET GUDULE,
21006A48-,CIMETIERE BRUXELLES,
21001A783,SCHEUT-INTERNAT,
21010A092,PARC DE LA JEUNESSE,
21004B1MJ,RUE JOSEPH II,
21011A29-,PARC ELISABETH,
21016A13-,OBSERVATOIRE,
21015A39-,JOSAPHAT (PARC),
21008A29-,RIVIERE MOLENBEEK,
21007A79-,PARC DUDEN,
21001A37-,ZUEN - INDUSTRIE,
21004G371,GARE DE FORMATION,
"21004E180",DOMAINE ROYALE,
"21004E292",AVENUE DES CROIX DU FEU,
21004C591,CAMBRE (BOIS DE LA),
21017A09-,FORET DE SOIGNES,
21001C6MB,MEYLEMEERSCH-EST,
21002A190,FORET DE SOIGNES,
21002A18-,ROUGE CLOITRE,
21016A193,WOLVENDAEL,
21015A7MJ,JOSAPHAT GARE,
21012A59-,KARREVELD,
21007A373,CHARROI (RUE DE),
21001A08-,ASTRID (PARC),
21018A19-,STRUYCKBEKEN,
21004E8NJ,HOPITAL BRUGMANN,
21019A09-,WOLUWE (PARC DE),
21010A182,DIELEGEM (BOIS DE),
21017A192,STADE DES TROIS TILLEULS,
21005A29-,CINQUANTENAIRE (PARC),
21010A493,LAERBEEK (BOIS DE),
21001A732,SCHEUTVELD,23449.56
21001A30-,BIZET,19297.7
21001A31-,CHAUSSEE DE MONS - SAINT-LUC,20692.92
21001A32-,AURORE,20787.27
21001A331,WALCOURT,32313.05
21001A332,ROUE,18788.98
21001A34-,ROUE - CITE JARDIN,19814.82
21001A80-,SILLON,20117.25
21001A350,CERIA - ZONE D'HABITAT,18195.58
